user_played, instrument_name, velocity, pitch, start (s), end (s)
TRUE,violin,113,67,2,2.166666667
TRUE,violin,113,59,2,2.166666667
TRUE,violin,113,62,2,2.166666667
FALSE,piano,119,35,2,2.25
FALSE,piano,113,46,2,2.375
TRUE,violin,107,62,2.166666667,2.333333333
TRUE,violin,89,67,2.166666667,2.333333333
TRUE,violin,93,59,2.166666667,2.333333333
TRUE,violin,107,62,2.333333333,2.5
TRUE,violin,93,59,2.333333333,2.5
TRUE,violin,85,67,2.333333333,2.5
TRUE,violin,89,67,2.5,2.666666667
TRUE,violin,93,59,2.5,2.666666667
TRUE,violin,107,62,2.5,2.666666667
FALSE,piano,64,42,2.5,2.614583333
FALSE,piano,119,39,2.5,2.65
TRUE,violin,89,59,2.666666667,2.833333333
TRUE,violin,102,62,2.666666667,2.833333333
TRUE,violin,72,67,2.666666667,2.833333333
TRUE,violin,93,62,2.833333333,3
TRUE,violin,94,67,2.833333333,3
TRUE,violin,93,59,2.833333333,3
FALSE,piano,76,46,2.833333333,2.93125
TRUE,violin,107,59,3,3.166666667
TRUE,violin,102,62,3,3.166666667
TRUE,violin,102,67,3,3.166666667
FALSE,piano,102,46,3,3.285416667
FALSE,flute,121,86,3.333333333,3.416666667
FALSE,flute,127,91,3.5,3.791666667
FALSE,piano,113,42,3.5,3.608333333
FALSE,piano,113,39,3.5,3.666666667
FALSE,flute,127,88,3.833333333,4
FALSE,piano,107,46,3.833333333,3.9
FALSE,piano,113,35,3.833333333,3.90625
FALSE,piano,119,35,4,4.295833333
FALSE,piano,107,46,4,4.30625
TRUE,violin,98,69,4.5,4.666666667
TRUE,violin,107,64,4.5,4.666666667
TRUE,violin,107,60,4.5,4.666666667
FALSE,piano,107,42,4.5,4.604166667
FALSE,piano,113,39,4.5,4.65
TRUE,violin,60,60,4.666666667,4.833333333
TRUE,violin,72,69,4.666666667,4.833333333
TRUE,violin,85,64,4.666666667,4.833333333
TRUE,violin,72,69,4.833333333,5
TRUE,violin,68,60,4.833333333,5
TRUE,violin,72,64,4.833333333,5
FALSE,piano,107,46,4.833333333,4.90625
TRUE,violin,93,71,5,5.166666667
TRUE,violin,76,62,5,5.166666667
TRUE,violin,89,66,5,5.166666667
FALSE,piano,107,46,5,5.25
TRUE,violin,89,62,5.166666667,5.333333333
TRUE,violin,98,71,5.166666667,5.333333333
TRUE,violin,85,66,5.166666667,5.333333333
TRUE,violin,85,62,5.333333333,5.5
TRUE,violin,89,71,5.333333333,5.5
TRUE,violin,80,66,5.333333333,5.5
TRUE,violin,93,71,5.5,5.666666667
TRUE,violin,89,66,5.5,5.666666667
TRUE,violin,93,62,5.5,5.666666667
FALSE,piano,102,42,5.5,5.597916667
FALSE,piano,113,39,5.5,5.639583333
TRUE,violin,93,62,5.666666667,5.833333333
TRUE,violin,93,66,5.666666667,5.833333333
TRUE,violin,93,71,5.666666667,5.833333333
TRUE,violin,98,71,5.833333333,6
TRUE,violin,89,62,5.833333333,6
TRUE,violin,85,66,5.833333333,6
FALSE,piano,119,35,5.833333333,5.9
FALSE,piano,113,46,5.833333333,5.90625
TRUE,violin,80,67,6,6.166666667
TRUE,violin,113,59,6,6.166666667
TRUE,violin,107,62,6,6.166666667
FALSE,piano,107,46,6,6.191666667
FALSE,piano,127,35,6,6.285416667
TRUE,violin,93,67,6.166666667,6.333333333
TRUE,violin,72,59,6.166666667,6.333333333
TRUE,violin,89,62,6.166666667,6.333333333
TRUE,violin,98,62,6.333333333,6.5
TRUE,violin,93,59,6.333333333,6.5
TRUE,violin,89,67,6.333333333,6.5
TRUE,violin,85,59,6.5,6.666666667
TRUE,violin,93,62,6.5,6.666666667
TRUE,violin,85,67,6.5,6.666666667
FALSE,piano,107,42,6.5,6.608333333
FALSE,piano,113,39,6.5,6.65625
TRUE,violin,98,62,6.666666667,6.833333333
TRUE,violin,93,67,6.666666667,6.833333333
TRUE,violin,98,59,6.666666667,6.833333333
TRUE,violin,93,62,6.833333333,7
TRUE,violin,85,67,6.833333333,7
TRUE,violin,89,59,6.833333333,7
FALSE,piano,107,46,6.833333333,6.90625
TRUE,violin,98,67,7,7.166666667
TRUE,violin,107,62,7,7.166666667
TRUE,violin,102,59,7,7.166666667
FALSE,piano,107,46,7,7.160416667
FALSE,flute,121,86,7.333333333,7.416666667
FALSE,flute,127,91,7.5,7.795833333
FALSE,piano,107,42,7.5,7.597916667
FALSE,piano,113,39,7.5,7.660416667
FALSE,flute,127,88,7.833333333,8
FALSE,piano,107,46,7.833333333,7.9
FALSE,piano,119,35,7.833333333,7.90625
FALSE,piano,107,46,8,8.239583333
FALSE,piano,107,35,8,8.30625
TRUE,violin,102,60,8.5,8.666666667
TRUE,violin,107,64,8.5,8.666666667
TRUE,violin,98,69,8.5,8.666666667
FALSE,piano,102,42,8.5,8.604166667
FALSE,piano,113,39,8.5,8.635416667
TRUE,violin,72,60,8.666666667,8.833333333
TRUE,violin,76,64,8.666666667,8.833333333
TRUE,violin,76,69,8.666666667,8.833333333
TRUE,violin,60,69,8.833333333,9
TRUE,violin,76,64,8.833333333,9
TRUE,violin,47,60,8.833333333,9
FALSE,piano,107,46,8.833333333,8.9
TRUE,violin,98,62,9,9.166666667
TRUE,violin,98,66,9,9.166666667
TRUE,violin,98,71,9,9.166666667
FALSE,piano,102,46,9,9.170833333
TRUE,violin,93,66,9.166666667,9.333333333
TRUE,violin,93,71,9.166666667,9.333333333
TRUE,violin,93,62,9.166666667,9.333333333
TRUE,violin,93,62,9.333333333,9.5
TRUE,violin,89,66,9.333333333,9.5
TRUE,violin,98,71,9.333333333,9.5
TRUE,violin,89,62,9.5,9.666666667
TRUE,violin,89,66,9.5,9.666666667
TRUE,violin,93,71,9.5,9.666666667
FALSE,piano,102,42,9.5,9.604166667
FALSE,piano,107,39,9.5,9.629166667
TRUE,violin,93,62,9.666666667,9.833333333
TRUE,violin,89,66,9.666666667,9.833333333
TRUE,violin,98,71,9.666666667,9.833333333
TRUE,violin,93,71,9.833333333,10
TRUE,violin,93,62,9.833333333,10
TRUE,violin,76,66,9.833333333,10
